name,bus0,bus1,x,r,b,s_nom,length,carrier
1571-5191-1,Ardnagappary,Tievebrack,14.568399999999999,6.5824,9.256198347107436e-05,91.0,35.0,AC
1341-1701-1,Binbane,Cathaleen's Fall,13.4915,2.6136,9.999999999999999e-05,178.0,34.3,AC
1341-5191-1,Binbane,Tievebrack,9.3654,2.9282,6.528925619834711e-05,134.0,23.2,AC
1701-1761-1,Cathaleen's Fall,Cliff,2.2264,0.7018,1.5702479338842974e-05,68.0,5.5,AC
2870-17010-1,Clogher,Cathaleen's Fall,10.691076,1.9723,0.00013041322314049587,178.0,26.07,AC
1701-28712-2,Cathaleen's Fall,Clogher,10.691076,4.6706,7.834710743801653e-05,178.0,25.74,AC
1701-1981-1,Cathaleen's Fall,Corraclassy,24.103199999999998,4.6585,0.00017851239669421489,178.0,61.3,AC
1701-5041-1,Cathaleen's Fall,Srananagh 110,21.6227,7.852900000000001,0.00017438016528925618,191.0,52.63,AC
5041-17010-2,Srananagh 110,Cathaleen's Fall,19.3479,3.7388999999999997,0.00014380165289256197,178.0,49.67,AC
28710-51911-1,Clogher,Croaghonagh,0.968,0.2057,0.001077685950413223,183.0,9.61,AC
2321-28710-1,Drumkeen,Clogher,10.998899999999999,4.6706,0.0001256198347107438,103.0,27.0,AC
2871-28019-1,Clogher,Golagh,0.09680000000000001,0.03629999999999999,5.785123966942148e-06,177.0,0.25,AC
2870-4091-1,Clogher,Mulreavy,1.089,0.24502499999999997,0.0007396694214876033,136.0,7.69,AC
1631-5041-1,Corderry,Srananagh 110,5.287700000000001,2.3958000000000004,3.388429752066116e-05,178.0,12.7,AC
2321-3581-1,Drumkeen,Letterkenny,3.3396,1.5125,2.1487603305785124e-05,99.0,8.35,AC
2321-4071-1,Drumkeen,Meentycat,2.0812,0.9438,1.322314049586777e-05,99.0,5.0,AC
3581-28019-1,Letterkenny,Golagh,15.923599999999999,6.981700000000001,0.00011231404958677686,99.0,38.4,AC
3581-3591-1,Letterkenny,Lenalea,4.936800000000001,1.5488000000000002,3.471074380165289e-05,136.0,12.23,AC
3591-5191-1,Lenalea,Tievebrack,13.3826,4.1745,9.338842975206611e-05,136.0,33.13,AC
3581-5361-1,Letterkenny,Trillick,14.152764999999999,6.173541,9.809917355371901e-05,105.0,34.05,AC
4981-5041-1,Sligo,Srananagh 110,4.622199999999999,2.0933,2.9752066115702478e-05,99.0,10.77,AC
4981-5041-2,Sligo,Srananagh 110,4.9973,2.2626999999999997,3.2231404958677685e-05,99.0,11.19,AC
4991-5361-1,Sorne Hill,Trillick,1.8392,0.8349,1.2396694214876033e-05,105.0,4.4,AC
